id,name,level,state,sector,demographics,gender,budget,description,benefits,eligibility,source_url
SCH_001,Pradhan Mantri Jan Arogya Yojana (PM-JAY),Central,All,Healthcare,"Laborer, Middle Class, Poor, Rural",All,7500.0,"The world's largest health assurance scheme, aiming to provide a health cover of Rs. 5 lakhs per family per year for secondary and tertiary care hospitalization.",Cashless cover of Rs. 5 Lakhs per family per year. Over 12 crore poor and vulnerable families covered.,Families listed in the Socio-Economic Caste Census (SECC) database; no restriction on family size or age.,https://dashboard.pmjay.gov.in/
SCH_002,PM-KISAN (Pradhan Mantri Kisan Samman Nidhi),Central,All,Agriculture,"Farmer, Rural",All,60000.0,"An initiative by the government of India that provides up to Rs. 6,000 per year in three equal installments to all landholding farmer families.","Direct income support of Rs. 6,000 per year transferred directly into the bank accounts of farmers.",All landholding farmer families across the country (subject to certain exclusion criteria like institutional landholders).,https://pmkisan.gov.in/
SCH_003,Mahatma Gandhi National Rural Employment Guarantee Act (MGNREGA),Central,All,Jobs & Skill Development,"Laborer, Rural",All,86000.0,Social security measure that aims to guarantee the 'right to work' by providing at least 100 days of wage employment in a financial year to rural households.,Guaranteed 100 days of unskilled manual work per year. Unemployment allowance if work is not provided within 15 days.,Adult members of any rural household willing to do unskilled manual work.,https://nrega.nic.in/
SCH_004,Samagra Shiksha Abhiyan,Central,All,Education,"Student, Youth",All,37500.0,"An overarching programme for the school education sector extending from pre-school to class 12, aiming to ensure inclusive and equitable quality education.","Support for school infrastructure, digital education, teacher training, and free textbooks and uniforms.",All children enrolled in government or government-aided schools from pre-school to senior secondary level.,https://samagra.education.gov.in/
SCH_005,Pradhan Mantri Awas Yojana - Urban (PMAY-U),Central,All,Housing & Infrastructure,"Middle Class, Poor, Urban",All,80671.0,A flagship mission that addresses urban housing shortage among the EWS/LIG and MIG categories including the slum dwellers by ensuring a pucca house.,"Interest subsidy on home loans, financial assistance for house construction up to Rs. 2.67 lakhs.","Economically Weaker Section (EWS), Low Income Group (LIG), and Middle Income Group (MIG) families without a pucca house in India.",https://pmay-urban.gov.in/
SCH_006,Pradhan Mantri Kaushal Vikas Yojana (PMKVY),Central,All,Jobs & Skill Development,"Student, Youth",All,2000.0,Skill certification scheme that aims to enable a large number of Indian youth to take up industry-relevant skill training to secure a better livelihood.,"Free skill training, assessments, and recognized certifications. Financial rewards upon successful completion and placement assistance.",Any unemployed youth or school/college dropouts with verifiable identity proof.,https://www.pmkvyofficial.org/
SCH_007,Atal Pension Yojana (APY),Central,All,Financial Services,"Laborer, Middle Class, Unorganized Workers",All,350.0,"A pension scheme focused on the unorganized sector workers, offering a guaranteed minimum pension of Rs. 1,000 to Rs. 5,000 per month after age 60.","Guaranteed minimum pension for life, spouse pension after death, and return of corpus to the nominee.",All citizens of India aged between 18 and 40 years holding a savings bank account.,https://www.npscra.nsdl.co.in/
SCH_008,Lakhpati Didi Scheme,Central,All,Jobs & Skill Development,"Women, Rural, Farmer",Female,1500.0,Government initiative aiming to empower 3 crore rural women in Self-Help Groups (SHGs) to earn a sustainable income of at least Rs. 1 lakh per year.,"Skill training in drone flying, LED bulb making, plumbing, weaving, financial literacy, and easy credit access.",Women who are active members of registered Self-Help Groups (SHGs) in rural areas.,https://lakhpatididi.gov.in/
SCH_009,Sukanya Samriddhi Yojana (SSY),Central,All,Financial Services,"Student, Children",Female,120.0,"A small deposit scheme for a girl child launched as a part of the 'Beti Bachao Beti Padhao' campaign, offering high interest rates and tax savings.","High interest rate (currently 8.2%), tax deductions under Section 80C, and maturity funds for higher education/marriage.",Parents or legal guardians of a girl child below 10 years of age (maximum two accounts per family).,https://www.indiapost.gov.in/
SCH_010,Majhi Ladki Bahin Yojana,State,Maharashtra,Social Welfare & Finance,"Women, Middle Class, Poor",Female,46000.0,A state-level financial assistance scheme launched by the Maharashtra government providing monthly cash support to women.,"Monthly financial aid of Rs. 1,500 deposited directly into the bank accounts of eligible women beneficiaries.",Women residents of Maharashtra aged 21 to 65 years with annual family income less than Rs. 2.5 Lakhs.,https://ladkibahin.maharashtra.gov.in/
